qubit,0
update_date,2021-03-22 16:09:23-04:00
T1,129.46224122259403
T2,211.8032029666661
freq,5.029682057913614
readout_err,-0.33574155258829724
pm0p1,0.01770000000000005
pm1p0,0.0254
id_error,0.00019047479643498932
id_len,35.55555555555556
u1_error,0.00026175003610419363
u1_len,35.55555555555556
u2_error,0.0003555210092607151
u2_len,35.55555555555556
u3_error,0.0005559819978295073
u3_len,35.55555555555556
itr,8
shots,8192
End
qubit,1
update_date,2021-03-22 16:09:23-04:00
T1,59.59718918758183
T2,102.42423307382502
freq,5.128367188834747
readout_err,-0.3183491230373718
pm0p1,0.03160000000000007
pm1p0,0.053200000000000025
id_error,0.0007022201253724391
id_len,35.55555555555556
u1_error,0
u1_len,0
u2_error,0
u2_len,0
u3_error,0
u3_len,0
itr,8
shots,8192
End
qubit,2
update_date,2021-03-22 16:09:23-04:00
T1,103.1209717929508
T2,108.74391925357202
freq,5.247492405494696
readout_err,-0.3336036607926792
pm0p1,0.03390000000000004
pm1p0,0.05620000000000003
id_error,0
id_len,0
u1_error,0
u1_len,0
u2_error,0.00019047479643498932
u2_len,35.55555555555556
u3_error,0.00026175003610419363
u3_len,35.55555555555556
itr,8
shots,8192
End
qubit,3
update_date,2021-03-22 16:09:23-04:00
T1,27.661428861187712
T2,40.104464373462854
freq,5.303327834241677
readout_err,-0.33124193185343576
pm0p1,0.05590000000000006
pm1p0,0.0938
id_error,0.0003555210092607151
id_len,35.55555555555556
u1_error,0.0005559819978295073
u1_len,35.55555555555556
u2_error,0.0007022201253724391
u2_len,35.55555555555556
u3_error,0.00019047479643498932
u3_len,35.55555555555556
itr,8
shots,8192
End
qubit,4
update_date,2021-03-22 16:09:23-04:00
T1,23.88177540664721
T2,25.723723876149204
freq,5.091768139143437
readout_err,-0.3344696566823515
pm0p1,0.04859999999999998
pm1p0,0.08499999999999996
id_error,0.00026175003610419363
id_len,35.55555555555556
u1_error,0.0003555210092607151
u1_len,35.55555555555556
u2_error,0.0005559819978295073
u2_len,35.55555555555556
u3_error,0.0007022201253724391
u3_len,35.55555555555556
itr,8
shots,8192
End
